,ENSG00000123096,ENSG00000131095,ENSG00000048649,ENSG00000078549,ENSG00000206172,ENSG00000244734,ENSG00000121966,ENSG00000155980,ENSG00000127914,ENSG00000170275,ENSG00000188536,ENSG00000038427,ENSG00000078114,ENSG00000104324,ENSG00000157833,ENSG00000146005,ENSG00000225465,ENSG00000117592,ENSG00000168280,ENSG00000120063,ENSG00000124749,ENSG00000152661,ENSG00000089169,ENSG00000111328,ENSG00000141279,ENSG00000152990,ENSG00000092820,ENSG00000152518,ENSG00000104361,ENSG00000147027,ENSG00000196739,ENSG00000087263,ENSG00000185650,ENSG00000119729,ENSG00000108932,ENSG00000107562,ENSG00000124942
hB_RNA_16045,4.116005308,12.77718555,7.443556981,8.000368232,1.479234038,6.67361047,2.408448279,10.99889166,8.231604458,6.009301308,2.974346579,8.277622113,8.896767489,4.721077971,4.809359985,6.900757835,5.953874536,6.825628297,10.05918358,6.835498858,4.533947397,9.135774043,6.773233918,5.020948711,6.834725638,6.158196089,7.030972409,5.02235526,5.627658987,6.868168433,3.621580797,5.314635525,6.149150672,5.765999487,3.02128736,2.142391243,10.43188405
hB_RNA_17125,3.672446379,13.02488013,7.584876765,7.916868275,0.792786525,6.126424141,2.504309799,10.72795912,8.515975879,5.763317895,2.812238721,8.160136804,8.885384602,5.147333237,4.581013237,6.712535101,6.051591167,6.788970949,10.18284935,6.971712972,4.257329798,9.194839444,6.550935146,5.156764215,7.3564826,6.060577782,6.727721072,5.107909507,5.477523661,6.864987058,4.151344039,5.342837572,6.1618045,5.837698102,2.307472916,2.724694467,9.775882688
hB_RNA_4791,3.895113263,12.90499389,7.616141321,7.802786273,-0.406254962,5.931161857,2.204453653,10.49128018,8.665454097,5.466976764,1.193815963,8.148200416,8.914026546,4.485946364,4.268911596,6.085252633,6.433835431,6.84577867,10.18627372,6.951186347,4.357424304,8.972183366,6.850324619,5.065347659,7.371849104,6.072505304,6.647182676,4.274559869,6.001849284,6.903422581,3.664492372,5.158941082,5.677661005,6.036483635,2.393370101,2.664701837,9.530604011
hB_RNA_8635,4.172284238,13.94420583,7.414038236,8.506852365,0.563100021,6.911697251,2.555886038,10.69448161,8.407726207,6.185283187,1.811312535,8.690431947,9.067935993,5.229590195,5.203739178,7.354501452,5.012214672,7.127704238,9.844121962,7.233407084,5.007826306,9.462638872,5.811749244,5.21301947,6.903031461,6.893246182,7.194188782,5.349133861,4.565755665,7.154959131,4.365003549,5.217704423,6.458016477,6.017591943,1.919546971,2.775626287,10.26637132
hB_RNA_8885,4.099831667,13.02256443,7.506106524,7.641949928,-1.094499871,5.507066131,3.222078959,10.47825915,8.66706755,5.944872535,1.481690745,8.283039311,8.985081255,5.227694637,5.336513929,6.727839003,5.729608551,6.798715741,10.03742465,6.998208155,4.725354485,9.251059099,6.302841408,5.354186482,7.406360519,6.091490562,7.021618758,4.840527746,5.660572948,7.087277496,4.076087223,5.141744009,6.040462996,5.982349041,1.302395821,2.665099996,10.0386312
hB_RNA_4827,4.100386037,12.48556768,7.446431767,7.928388642,2.254404122,8.02946706,2.315813105,10.93605801,8.371818842,5.620175049,3.779117208,8.125360642,8.95678477,4.864972912,4.045004765,6.675369826,6.26176784,7.310434952,10.07604748,6.982134757,4.093313792,9.357734002,7.286900598,5.007390714,7.08306782,6.038564545,7.063652805,4.115171843,6.039047764,7.14907112,3.287517565,5.196867607,5.418080348,5.838362566,2.798167985,2.895851601,9.919751781
hB_RNA_4831,2.44653048,11.79505371,7.537475032,7.733158102,-0.739287312,4.624219923,3.897930896,10.52949793,8.502407996,5.533842126,0.253706939,7.63581312,8.631792302,4.76472019,5.013852192,6.481076804,5.944949881,6.137819779,10.18627344,6.613633369,4.60304411,8.12794767,6.666492669,5.219191869,7.53121436,5.624523946,6.691900254,4.361006394,5.910334313,6.472551489,4.275068839,5.127255655,5.713865101,5.89259964,1.695466866,1.872538144,9.341891305
hB_RNA_16195,3.428351639,12.73773448,7.400560805,7.924012767,1.522463371,7.138608535,1.992678576,10.94859032,8.425441024,5.546340335,4.028807631,8.031766825,8.818924322,5.03370723,4.740358295,6.991139294,5.322822307,6.825727284,10.10149228,6.80279813,4.275853534,9.172410856,6.359800903,5.265020602,7.026077417,5.986706094,6.717647586,4.300988438,5.527239775,6.737517012,4.968386551,5.289765609,5.537545752,5.855673914,2.22626422,2.965093477,10.12534146
hB_RNA_17055,4.131602026,12.24195538,7.424680578,7.954724237,1.731848307,8.798576857,2.477177256,10.78983103,8.326734979,5.894696184,3.885680746,8.454423623,8.934358798,4.7664819,4.841469762,6.95432205,5.694593837,6.939643977,9.926940414,7.016423768,4.242445773,9.113011056,6.494801983,5.107602915,6.746934216,6.234100634,6.875049819,5.132304565,5.459625044,6.748048028,3.590252001,5.466182634,6.274414145,5.980466457,3.205376718,3.028182625,10.37001943
hB_RNA_16375,3.966239572,12.38323276,7.461052171,7.696032813,1.129337691,7.173910666,0.752904184,10.70063739,8.065904803,6.287592524,3.532277441,8.724201741,8.530642651,5.428640643,4.375399417,6.453101847,5.967729574,6.691269639,9.795270946,7.061202452,3.816695132,8.389278597,6.350538069,5.355941706,6.574313753,5.996832733,6.904664483,5.94430683,4.881986941,6.586160141,2.84132956,5.805519229,6.687244166,6.445319723,2.630373987,2.298970865,9.76814073
hB_RNA_16555,4.295070426,13.16698848,7.594244639,8.117861425,3.983183473,10.89575011,2.09313398,11.51379644,8.231770639,6.425448545,6.020535202,8.269921219,9.174440676,5.318034528,4.721363229,6.446151632,5.844243355,7.192529631,10.52719258,7.108839062,3.962420445,9.426878783,6.291076237,5.309366937,7.215536424,6.245189291,6.902150701,5.345763426,5.318972297,7.207015072,3.116383863,5.087977051,6.411922326,6.178299151,2.424503672,3.073182142,10.10405652
hB_RNA_17015,4.053159663,12.32051918,7.46356146,8.343889257,0.967008851,6.80002567,2.539983401,10.29729828,8.513997839,5.71306078,1.531529747,8.310607323,9.022063132,4.608781774,4.492901462,6.499101445,5.964868048,6.767166935,9.844335321,6.873119009,4.771228848,9.109133841,6.100712207,4.706255202,7.012234415,6.257941415,6.993571586,5.065724082,5.558331294,7.069283197,3.525636846,5.396786428,5.855485065,5.637580949,2.720590425,3.695290933,10.1589283
hB_RNA_8565,3.201049602,12.69077155,7.549829796,7.406007529,0.90131272,5.786131885,1.382267217,10.97674563,8.422770699,5.406221058,2.30537347,8.121740294,8.701255367,4.455014239,4.213565803,6.636463745,6.271393783,6.41979191,10.31388676,6.518262407,3.748306692,8.239708428,7.13574704,4.576924829,7.160409204,5.697778913,6.492049379,4.355925672,5.89306663,6.106171308,3.449808234,5.500181613,5.431450841,5.79356652,2.92117343,1.523672484,9.287913022
hB_RNA_16255,3.39749622,11.99197092,7.40950359,7.750472896,0.734177716,6.580124483,2.344699954,10.91781352,8.368191754,5.453128557,2.691544528,7.693889835,8.580347427,4.644793754,5.09265794,7.211326575,6.206682199,6.494749932,10.02251229,6.498625954,4.368479794,8.334521237,7.072711533,4.959036322,7.034086524,6.115388205,6.620735913,4.766887732,5.488620806,6.541840505,4.368205764,5.081606543,5.536977791,5.545711253,2.808440471,3.652016994,9.543176929
hB_RNA_8995,3.729902612,12.28768435,7.453294606,7.651255336,0.645792459,5.712424912,3.167922615,10.35253296,8.469771178,5.706944578,2.36844023,8.059293156,8.678305994,4.903520731,4.667349301,6.407491283,6.121307941,6.520370136,9.933927045,6.783758068,4.290259249,8.630307249,6.478119573,4.87904165,7.187263428,6.178971716,6.793215475,4.43115169,5.294119405,6.840424433,4.180817427,5.231529755,5.612140683,5.88684446,1.496704444,3.081646795,9.669217328
hB_RNA_16025,3.750057138,12.65594546,7.646747385,8.027186584,1.726926227,8.090747442,3.610435744,10.95584058,8.547835829,5.786316839,3.847175957,8.417661856,8.930563872,4.670023219,5.209436764,6.852442134,6.088285612,6.719339969,10.21939242,7.018512079,4.879850969,8.972310028,5.977244497,4.972007852,7.232680437,6.202142443,7.012198843,5.393143589,5.278334494,6.897114236,3.788027578,5.229512935,6.437597539,5.968153648,1.876564547,2.99206212,9.798218132
hB_RNA_8625,3.469725562,12.00768644,7.145909362,7.674717784,2.165685575,7.9364225,2.174621699,10.69064613,8.257094856,5.578233686,-3.402875034,8.029578504,8.810078617,4.597451447,3.199382384,6.370288583,6.041035711,7.210815709,9.966568143,6.844096938,3.835527469,8.123884216,6.343331882,4.485648625,7.116704651,4.914128829,6.648194905,4.733202734,6.017457997,6.496837131,4.233211521,5.950560997,6.422040671,6.274851844,3.469553457,1.746155667,9.379284463
hB_RNA_8745,3.320255871,11.793189,7.348771973,7.791801477,1.450359286,7.176148033,1.818921686,10.60591525,8.302084249,5.330332648,3.085239623,7.48452257,8.450457904,4.24092926,4.714539324,6.678332162,5.552372,6.309275788,9.956441081,6.560669593,4.148192689,8.378899876,7.197118183,4.644061566,7.005142314,5.914566359,6.482590943,4.595427234,5.353136007,6.464327598,3.522917081,4.872806368,5.48875052,5.371147474,2.690465186,2.695653606,9.374651386
hB_RNA_16665,4.081242429,13.11745401,7.474277024,8.460256646,0.79677031,6.461125072,2.113461253,10.96400531,8.360672091,5.788055523,2.600413423,8.562519683,8.942327294,4.794730985,5.320348827,7.040160937,5.831253389,6.938068649,10.01206848,7.081449869,4.696249554,9.428317965,6.407024283,5.114472281,7.01534471,6.603040945,7.184616963,4.826369101,5.204871284,7.282595831,3.659359931,5.064725741,6.116647156,5.783504265,2.161634899,3.488708697,10.48746353
hB_RNA_4905,3.462245091,12.79910725,7.581108615,8.167721185,2.799014019,8.820263918,2.955181096,10.53547686,8.432633426,5.603287046,3.210628464,7.685193619,8.833586467,4.59544904,5.044951591,6.901521126,6.501591457,6.573373211,10.10085997,6.39867931,4.54609651,9.121364729,7.234678716,5.011984489,7.302376494,6.380817184,7.116990574,4.646348496,5.501197111,6.89433847,3.671605721,5.312357071,5.74669238,5.813816066,2.334992879,3.567964852,9.611395346
hB_RNA_16705,3.556796347,11.89782856,7.614902592,7.887118087,1.44466914,7.197729067,2.443652593,10.84109011,8.459789352,5.825243211,3.22747218,7.783923884,8.624420865,4.680536669,5.009808318,7.026737163,6.125325744,6.543251036,10.19428515,6.78077117,3.709934101,8.510407222,7.035375479,4.760353399,7.086429854,6.013381183,6.807966824,5.236049348,5.211930147,6.703818242,3.789002493,5.235279415,6.237741186,5.71560214,2.810821489,4.02838253,9.60606264
hB_RNA_16725,3.923076091,12.48298177,7.341931452,7.988399104,0.554791348,5.027466477,1.718302075,10.84294902,8.486893195,5.782435251,1.864558617,8.116746707,9.046195842,4.908225561,4.81777918,7.184765473,5.894677977,6.831025033,10.10208449,6.828731368,4.197993971,8.811241677,6.972436105,5.184120899,7.202940769,6.283206386,7.048204373,4.691149165,5.799859762,6.778317486,3.682708198,5.468194445,5.812050056,5.937657228,3.652914595,3.353236358,9.782687321
hB_RNA_16605,4.622981614,13.62246879,7.440237673,8.30781858,2.507029276,8.845172563,2.572000184,11.15790484,8.380889771,6.137780871,4.284011256,8.994727568,9.215864415,5.267083958,5.628989315,6.994876031,4.838183539,7.475242719,9.981482955,7.201094134,5.110327617,9.86989361,5.834869015,5.74946747,6.85706754,6.529086338,7.529464893,5.444809295,4.695543639,7.214121903,4.470241147,5.203361556,7.006108255,6.20290979,1.103423961,3.284247577,10.8225112
hB_RNA_16595,3.449989309,12.51726892,7.44076882,7.952332236,-0.277031744,5.108232572,2.506570571,11.02921713,8.413347465,5.680328909,0.917424703,7.886215287,8.56501693,4.742696107,4.826583578,6.716741825,5.798729276,6.662693061,10.38465158,6.58467296,4.374102715,8.360871163,7.302916093,5.042699421,7.219045866,5.939477146,6.860925893,4.531622396,5.702294322,6.119899976,3.395138375,5.390100957,5.848480502,5.613616888,2.71905095,3.064385556,9.737698406
hB_RNA_16535,3.306674386,12.5120125,7.560665665,7.889106792,0.89476329,6.650309898,1.972500235,11.31601278,8.454419087,5.780719159,2.556026919,8.038419267,8.731309348,4.433537452,5.449965903,7.062221902,5.95454682,6.55507466,10.16560426,6.662184959,4.294797684,8.735837517,6.715074012,5.138124834,7.231407564,6.173776782,7.102690564,4.752214881,5.874189998,6.769574631,4.648466025,5.155998638,6.05251894,5.812498907,1.740862609,2.374886678,10.04966332
hB_RNA_4919,4.974200639,14.41558233,7.189526968,7.166896659,2.348025399,7.742718319,2.096134091,10.18133357,8.125352408,5.851246883,5.09877358,8.153935213,9.278069409,5.432693695,3.475645855,5.229075707,4.011004542,7.873881897,9.425491758,7.655184913,3.820443799,9.767700225,4.404731497,5.333301391,7.098599805,5.556755938,7.13528959,6.456515807,5.352034093,7.0983442,4.373203497,5.718206325,7.559147459,6.296867955,4.279206346,5.275337391,10.95425086
hB_RNA_8605,3.537275588,11.77724512,7.605821067,7.483316741,0.360161103,6.670966009,2.034991434,11.0085266,8.549323637,5.60537711,3.108029334,7.674809094,8.70997822,4.524145098,4.743251197,7.124345434,6.710456453,6.398765012,10.31901316,6.549560197,4.018486763,8.142100118,7.395133791,4.860661725,7.335760024,5.964737447,6.507840906,4.58182245,5.930839263,6.643541659,3.4210767,5.192402195,5.102198317,5.782436805,3.055987837,3.377484812,9.135997574
hB_RNA_16585,4.142933387,12.63577187,7.50038708,8.21836008,1.544353219,7.785824317,2.366780071,11.03325593,8.532446492,5.781328215,4.091977927,8.489091573,8.872702887,4.922430706,4.966907495,6.804062925,5.703260966,6.947287839,10.09785347,6.842977896,4.17623253,9.152638284,6.685052041,4.799121398,7.102014788,6.236443835,6.781145031,4.939176974,5.559667506,6.620819202,3.480809046,5.36075082,5.967022559,5.742582908,2.124177424,2.531015304,10.46957033
hB_RNA_8845,3.348874382,11.85003414,7.561805445,7.815831399,0.325538343,5.784782877,2.862578503,10.54325444,8.518665737,5.713701384,1.572370175,8.012112252,8.847941152,4.662238426,5.579253599,7.023443275,6.17246543,6.286394854,10.09603666,6.695947142,4.574769473,8.509264473,6.840856706,5.183930194,7.359067901,5.921229286,6.997690885,4.501645698,5.336761048,6.957362754,4.451079289,5.110149596,5.589095805,6.031597224,2.21703874,2.963493042,9.475747534
hB_RNA_8305,3.555478397,12.15550851,7.571225644,7.657045052,1.010568033,7.283473886,1.666266664,10.74738098,8.49769895,5.625357093,3.56406198,7.300851496,8.653121225,4.800999629,5.076976314,7.125956215,6.466681055,6.300483952,10.09500507,6.5591742,4.170658645,8.468042821,6.850037172,4.703314771,7.392487862,5.994526297,6.433044883,4.548520658,5.699142887,6.567742812,3.689341684,5.274130966,5.464684249,5.750322476,1.965837426,2.764473176,9.380161332
hB_RNA_4923,2.938855067,11.97755581,7.388366547,7.634937382,-1.618671933,4.761660774,1.651584151,10.33943356,8.669046208,5.293701442,1.143221228,7.114231961,8.035895879,4.148714243,4.84183929,6.588378736,5.966331187,6.048761309,9.53839267,5.949809174,4.589513475,7.782817674,7.712501315,4.288298632,6.758066757,5.160488914,6.316051454,4.666220458,5.689335942,6.09666468,4.154901021,5.13366374,5.907265397,5.167392089,1.917854137,3.096295164,9.128441062
hB_RNA_8375,3.808657885,13.15240449,7.400453717,7.974421996,0.943418753,7.069046851,1.014560796,10.36624097,8.293453173,5.629922521,2.53066014,8.348681172,8.748339503,4.4881775,4.059045667,6.211596226,6.41517645,6.866105848,9.97803373,6.632020648,4.868289285,8.917881599,7.128619983,4.788288194,7.052916253,5.69024858,6.742429218,4.14482281,5.456924675,6.549042786,3.474287136,5.388786146,5.446081928,5.201683725,2.752301206,1.507908978,9.858642168
hB_RNA_4946,3.95317886,13.59680188,7.433047554,8.291487205,1.25516704,7.405249101,3.910841814,10.6931507,8.451794072,6.013046655,2.387369457,8.729627099,9.077895423,5.336976756,5.28743015,7.287249347,5.025305438,7.114250511,9.859170601,7.079684223,4.812411066,9.287572263,6.126402172,5.338709757,7.07597131,6.793911792,7.306546607,6.034220413,5.127597946,6.79544953,4.594906158,5.082797519,6.759550564,6.001114658,2.825605362,4.337387057,10.65596028
hB_RNA_16435,3.758001618,12.80190914,7.416263348,7.801998473,2.981724471,8.899731168,2.664028796,10.86942814,8.40800287,5.813240844,4.553353293,8.245082256,8.8102538,4.723291549,4.654362694,6.815625171,5.567777533,7.078801778,9.974951254,7.127780494,4.523008822,9.276090141,6.541026261,4.733062785,7.127863376,6.184183793,6.772208192,5.1664035,5.717020449,6.770594799,3.938070225,5.370068652,6.140789713,5.918751167,2.469992546,3.092471095,10.24300026
hB_RNA_4951,4.107469986,12.32108848,7.656423332,7.803707967,1.023184594,7.770882068,2.916116582,10.3678258,8.629742794,5.906896773,1.949387503,8.308215397,9.14014029,4.935227749,4.905136337,6.408218791,6.290183776,7.351792438,10.12539821,7.134158086,4.526886354,9.267952064,6.503091155,5.212841314,7.173822762,6.118005254,7.276898993,4.72905327,5.745221621,7.246588935,2.969159048,5.542616982,5.599591009,6.045380225,2.70069018,3.305835998,9.958746251
