,ENSG00000123096,ENSG00000131095,ENSG00000048649,ENSG00000078549,ENSG00000206172,ENSG00000244734,ENSG00000121966,ENSG00000155980,ENSG00000127914,ENSG00000170275,ENSG00000188536,ENSG00000038427,ENSG00000078114,ENSG00000104324,ENSG00000157833,ENSG00000146005,ENSG00000225465,ENSG00000117592,ENSG00000168280,ENSG00000120063,ENSG00000124749,ENSG00000152661,ENSG00000089169,ENSG00000111328,ENSG00000141279,ENSG00000152990,ENSG00000092820,ENSG00000152518,ENSG00000104361,ENSG00000147027,ENSG00000196739,ENSG00000087263,ENSG00000185650,ENSG00000119729,ENSG00000108932,ENSG00000107562,ENSG00000124942
BM_10_739,3.662309126,12.51972798,7.369483751,7.871439422,1.304003251,7.040498848,2.835086807,10.62727833,8.317410792,5.963357596,3.113991951,7.907021739,8.853054052,4.77314916,4.69729025,6.824943355,6.294840302,6.858164006,10.07837066,6.771141186,4.445370366,8.902677482,6.560807366,4.98195714,7.082090744,6.053253626,6.981073811,4.590924313,5.787798162,6.6746343,2.767944392,5.349506267,5.631210593,5.91855646,3.142013053,2.672503989,9.930745156
BM_10_791,3.407852635,12.59583256,7.720145026,7.758702087,-0.35429784,6.339708546,2.167588867,10.45631879,8.791768973,5.404363434,2.20450649,7.681326611,9.059494234,4.723854076,3.830223369,6.147521434,6.452232492,6.916642563,10.25226561,6.959932024,4.514086959,8.927988261,6.498376438,4.920210409,7.607762405,6.222236849,6.658875052,4.128930897,5.801451834,6.931687208,2.634377323,5.403786802,5.485537234,5.840879571,2.675758748,2.308708195,8.726117786
BM_10_621,3.403365189,12.86050898,7.364385696,7.79102084,0.687486208,6.508502752,2.342477683,10.7788903,8.295936932,5.498009118,2.497751201,7.916490019,8.516486622,4.411483624,4.71429093,6.592536764,6.146538247,6.699493825,9.988795734,6.730670246,4.256219104,8.73440231,6.645300845,5.091300563,7.200141153,5.841285881,6.462010416,4.483965494,5.924510839,6.552031463,3.619552319,5.056941599,5.942465846,5.745899575,2.042793941,2.559041764,9.629146308
BM_10_569,3.758506,12.30311986,7.328964799,7.548995582,0.941587023,6.648056364,1.475991939,10.28106994,8.236394447,5.545090827,2.514386753,7.630776675,8.509312641,4.416147504,4.356148085,6.056741325,5.952797881,6.208363754,9.937946749,6.633332011,4.106106208,8.276127432,6.866578454,4.650684355,7.250388577,5.627822712,6.436174288,4.162390945,6.315936072,6.50431269,3.94329731,5.174951377,5.368926367,5.57351959,2.839378219,2.402274825,8.914382411
BM_10_788,3.673006991,10.87919878,7.561464962,7.272160412,0.848567358,7.518630946,1.140581395,10.40585304,8.485229276,5.456416237,2.600548615,7.801619717,8.435762767,4.57998427,4.071026192,5.919537941,6.678394906,6.542272003,10.12797224,6.608722432,4.396764002,8.337658003,6.95969881,4.308105952,7.237733347,5.702985608,6.379484908,4.396300202,5.953519401,6.579468557,3.167435102,5.306231962,4.816867515,5.485528602,2.552334029,2.581228139,8.824173548
BM_10_579,3.876427395,12.57819886,7.408760136,7.981966022,1.491929848,7.73009072,1.9969164,10.82391417,8.496396932,5.665231008,3.591523155,8.721417763,8.798255735,4.868876041,3.885854935,6.506250765,5.683323676,7.378881288,9.902022515,7.169190546,4.503499868,9.251639841,6.939000488,5.043384649,6.903799889,6.152689801,7.180267565,4.429560657,5.564400042,6.932403586,3.349641892,5.055353168,5.497124344,5.693482143,3.318277892,2.689625608,10.37648267
BM_10_809,2.651230317,12.06547323,7.530729072,7.807249475,-1.631486774,5.308746652,3.605500387,10.28956547,8.529157664,5.535161368,0.81913753,7.650583043,8.670693668,4.538125468,5.154133616,6.09952364,6.258894973,6.523510001,10.1423299,6.548491138,4.402265119,8.119452699,6.796142972,5.159283175,7.487999552,5.672710331,6.884253185,3.979434801,5.980611073,6.697119272,3.153329447,5.13658036,5.200889229,5.708431157,1.749257837,0.978249438,9.216204005
BM_10_778,3.768673558,12.51453691,7.721576961,7.916193566,0.185313526,7.266190086,2.018589295,10.788928,8.661041867,5.559449869,3.470981874,7.90552099,9.120966111,4.779349234,4.012870283,6.531147987,6.019629414,7.020172553,10.3838983,6.852662093,4.480063594,9.285486296,6.561533843,4.766731745,7.575607673,6.051951556,6.684698505,4.263996649,5.669816965,7.148386992,3.189663688,5.488307793,5.441453561,5.989211372,2.878424695,3.255403866,9.969633892
BM_10_651,3.88378582,12.99198041,7.263448797,7.910016732,2.334174173,8.207928889,3.128437982,10.63743861,8.231678524,6.130136467,4.195402722,8.369824271,8.698785864,5.349891102,5.643340278,7.103353259,5.776760613,6.835026228,9.978328751,6.739360957,4.705872237,9.087445158,6.578191659,5.450252555,7.204940514,6.056763569,7.413304682,4.841061843,5.329868815,6.763447112,4.128124728,5.325014831,6.089995029,5.842320011,1.476926831,2.751925928,10.15747374
BM_10_786,3.957750552,12.53500185,7.548601941,7.835208671,2.226652817,7.867837981,1.944685341,10.45507165,8.463887683,5.613633249,3.470836821,7.910649938,8.839117786,4.852268558,4.216968187,6.263791665,6.1011342,6.872909632,9.989105652,6.809336787,4.752357673,8.998226941,6.96351346,4.767368938,7.284984341,5.967432628,6.696435866,4.342728606,5.56684032,6.698086749,2.500376353,5.185060134,5.779965602,5.621388041,2.531113824,2.721267007,9.395226401
